,Company,Symbol,Portfolio%,??????Price,Chg,% Chg,
1,Microsoft Corp,MSFT,7.10%,???407.72,0.24,-0.06%,
2,Apple Inc.,AAPL,6.21%,???181.42,-1.21,(-0.66%),
3,Nvidia Corp,NVDA,4.58%,???776.63,-10.38,(-1.32%),
4,Amazon.com Inc,AMZN,3.73%,???173.16,-0.38,(-0.22%),
5,"Meta Platforms, Inc. Class A",META,2.51%,???484.02,-3.03,(-0.62%),
6,Alphabet Inc. Class A,GOOGL,1.91%,???136.38,-2.5,(-1.80%),
7,Berkshire Hathaway Class B,BRK.B,1.75%,???412.14,3.23,-0.79%,
8,Alphabet Inc. Class C,GOOG,1.62%,???137.43,-2.67,(-1.91%),
9,Eli Lilly & Co.,LLY,1.44%,???757.64,-7.36,(-0.96%),
10,Broadcom Inc.,AVGO,1.35%,"???1,289.42",-6.81,(-0.53%),
11,"Tesla, Inc.",TSLA,1.29%,???202.04,2.31,-1.16%,
12,Jpmorgan Chase & Co.,JPM,1.24%,???184.38,0.93,-0.51%,
13,Unitedhealth Group Incorporated,UNH,1.14%,???498.28,-15.14,(-2.95%),
14,Visa Inc.,V,1.06%,???285.63,2.46,-0.87%,
15,Exxon Mobil Corporation,XOM,0.98%,???104.32,0.29,-0.28%,
16,Mastercard Incorporated,MA,0.92%,???478.85,4.1,-0.86%,
17,Johnson & Johnson,JNJ,0.91%,???161.55,0.57,-0.35%,
18,Procter & Gamble Company,PG,0.89%,???160.05,0.75,-0.47%,
19,"Home Depot, Inc.",HD,0.87%,???377.61,2.05,-0.55%,
20,Costco Wholesale Corp,COST,0.77%,???747.96,3.25,-0.44%,
21,"Merck & Co., Inc.",MRK,0.77%,???128.19,-0.84,(-0.65%),
22,Abbvie Inc.,ABBV,0.74%,???178.00,-0.99,(-0.55%),
23,"Salesforce, Inc.",CRM,0.69%,???299.77,0.27,-0.09%,
24,Advanced Micro Devices,AMD,0.67%,???176.54,-1.46,(-0.82%),
25,Chevron Corporation,CVX,0.64%,???152.34,0.18,-0.12%,
26,Netflix Inc,NFLX,0.60%,???596.48,-5.19,(-0.86%),
27,Adobe Inc.,ADBE,0.60%,???551.82,-0.67,(-0.12%),
28,Walmart Inc.,WMT,0.60%,???59.62,0.03,-0.05%,
29,Accenture Plc,ACN,0.56%,???378.03,0.12,-0.03%,
30,Coca-Cola Company,KO,0.55%,???60.40,0.06,-0.10%,
31,Bank of America Corporation,BAC,0.54%,???34.31,0.03,-0.09%,
32,"Pepsico, Inc.",PEP,0.54%,???167.03,-1.13,(-0.67%),
33,"Thermo Fisher Scientific, Inc.",TMO,0.51%,???572.03,5.86,-1.04%,
34,Linde Plc,LIN,0.51%,???451.20,6.4,-1.44%,
35,Mcdonald's Corporation,MCD,0.51%,???295.19,1.43,-0.49%,
36,Abbott Laboratories,ABT,0.48%,???120.05,0.65,-0.54%,
37,The Walt Disney Company,DIS,0.46%,???110.80,1.38,-1.26%,
38,Wells Fargo & Co.,WFC,0.46%,???54.72,-0.09,(-0.16%),
39,"Cisco Systems, Inc.",CSCO,0.46%,???48.06,-0.25,(-0.52%),
40,Intuit Inc,INTU,0.44%,???659.16,-10.2,(-1.52%),
41,Intel Corp,INTC,0.43%,???41.99,-0.74,(-1.73%),
42,Oracle Corp,ORCL,0.41%,???111.68,0.3,-0.27%,
43,Qualcomm Inc,QCOM,0.41%,???155.85,-2.45,(-1.55%),
44,Applied Materials Inc,AMAT,0.40%,???197.54,-5.32,(-2.62%),
45,Comcast Corp,CMCSA,0.40%,???42.15,-0.12,(-0.28%),
46,General Electric Company,GE,0.40%,???155.61,1.62,-1.05%,
47,International Business Machines Corporation,IBM,0.39%,???185.30,0.43,-0.23%,
48,Verizon Communications,VZ,0.39%,???40.10,0.17,-0.43%,
49,Caterpillar Inc.,CAT,0.39%,???329.56,1.93,-0.59%,
50,Danaher Corporation,DHR,0.39%,???255.71,0.85,-0.33%,
51,"Uber Technologies, Inc.",UBER,0.38%,???77.73,-1.02,(-1.30%),
52,"Servicenow, Inc.",NOW,0.37%,???759.79,-7.35,(-0.96%),
53,Union Pacific Corp.,UNP,0.36%,???253.99,0.7,-0.28%,
54,Pfizer Inc.,PFE,0.36%,???27.04,0.15,-0.56%,
55,Amgen Inc,AMGN,0.36%,???277.46,-1.03,(-0.37%),
56,Texas Instruments Incorporated,TXN,0.35%,???163.04,-1.9,(-1.15%),
57,S&p Global Inc.,SPGI,0.33%,???429.39,1.55,-0.36%,
58,Philip Morris International Inc.,PM,0.33%,???90.42,0.24,-0.27%,
59,Intuitive Surgical Inc.,ISRG,0.32%,???386.59,0.13,-0.03%,
60,Lowe's Companies Inc.,LOW,0.31%,???238.80,3.41,-1.45%,
61,Conocophillips,COP,0.31%,???112.04,0.43,-0.39%,
62,"Honeywell International, Inc.",HON,0.31%,???197.57,-0.61,(-0.31%),
63,Rtx Corporation,RTX,0.30%,???89.92,-0.5,(-0.55%),
